URI_Name,Provincia,Canton,Parroquia,Latitud,Longitud,Nombre,Direccion,Tipo,Regimen Escolar
COLEGIODEBACHILLERATODRMANUELAGUSTINAGUIRRE,Loja_Province,SOZORANGA,TACAMOROS,-4,395250149910,-79,764753818800,COLEGIO DE BACHILLERATO DR MANUEL AGUSTIN AGUIRRE,   BARRIO LAS DELICIAS
COLEGIODEBACHILLERATODRZOILORODRIGUEZ,Loja_Province,SOZORANGA,TACAMOROS,-4,421946453410,-79,741136237600,COLEGIO DE BACHILLERATO DR ZOILO RODRIGUEZ,   PARROQUIA TACAMOROS UBICADO   A DIEZ KILOMETROS DE FRONTERA
COLEGIODEBACHILLERATOECUADOR,Loja_Province,ESPINDOLA,27DEABRIL,-4,441865282430,-79,457059333000,COLEGIO DE BACHILLERATO ECUADOR,   VIA PRINCIPAL CARIAMANGA-AMALUZA DESVIA EN EL SITIO LAS LIMAS 3 KM
COLEGIODEBACHILLERATOEDMUNDOCEVALLOSAGUIRRE,Loja_Province,CALVAS,COLAISACA,-4,318748669630,-79,693781061700,COLEGIO DE BACHILLERATO EDMUNDO CEVALLOS AGUIRRE,   LOCALIDAD COLAISACA
COLEGIODEBACHILLERATOELCISNE,Loja_Province,LOJA,ELCISNE,-3,849497969920,-79,420221559500,COLEGIO DE BACHILLERATO EL CISNE,   VIA A GUALEL BARRIO LA CONCHA EL CISNE
COLEGIODEBACHILLERATOELLIMO,Loja_Province,PUYANGO,ELLIMO(MARIANADEJESUS),-3,986552654520,-80,138252919800,COLEGIO DE BACHILLERATO EL LIMO,   KM   11/2 VIA A MANGAHURCO MARGEN DERECHO PARROQUIA EL LIMO
COLEGIODEBACHILLERATOEMILIANOABENDAnOGONZALEZ,Loja_Province,CATAMAYO,ELTAMBO,-4,144447994380,-79,293332279400,COLEGIO DE BACHILLERATO EMILIANO ABENDA�O GONZALEZ,   Barrio La Merced Alta
COLEGIODEBACHILLERATOEMILIANOORTEGAESPINOZA,Loja_Province,CATAMAYO,CATAMAYO,-3,985779994200,-79,363361358000,COLEGIO DE BACHILLERATO EMILIANO ORTEGA ESPINOZA,DIEZ Y OCHO DE AGOSTO  OLMEDO Y EUGENIO ESPEJO 
COLEGIODEBACHILLERATOFISCOMISIONALGABRIELGARCIAMORENO,Loja_Province,ESPINDOLA,ELINGENIO,-4,410831334180,-79,432778690600,COLEGIO DE BACHILLERATO FISCOMISIONAL  GABRIEL GARCIA MORENO,   A 200M DE LA VIA AMALUZA PASANDO LA VIA PRINCIPAL A MANO IZQUIERDA
COLEGIODEBACHILLERATOFISCOMISIONALDANIELALVAREZBURNEO,Loja_Province,LOJA,VALLE,-3,987918158240,-79,201197341400,COLEGIO DE BACHILLERATO FISCOMISIONAL DANIEL ALVAREZ BURNEO,AV DANIEL ALVAREZ 12-51 AV ORILLAS DEL ZAMORA 
